	page #	brand	url	product	price
81	2	 Converse 	https://eshop.cataloghk.com/150568895c.html	WOMEN CONVERSE CHUCK TAYLOR ALL STAR LIFT CABLE OX	HK$399.00
82	2	 Converse 	https://eshop.cataloghk.com/150168623c.html	UNISEX CONVERSE RIVALS CHUCK 70 HI	HK$759.00
83	2	 Converse 	https://eshop.cataloghk.com/150168670c.html	UNISEX CONVERSE RIVALS CHUCK 70 HI	HK$699.00
84	2	 Converse 	https://eshop.cataloghk.com/150568656c.html	WOMEN CONVERSE RIVALS PLATFORM CHUCK TAYLOR ALL STAR OX	HK$379.00
85	2	 Converse 	https://eshop.cataloghk.com/150168671c.html	UNISEX CONVERSE RIVALS CHUCK 70 HI	HK$499.00
86	2	 Converse 	https://eshop.cataloghk.com/150568758c.html	WOMEN CONVERSE RIVALS PLATFORM CHUCK TAYLOR ALL STAR HI	HK$399.00
87	2	 Converse 	https://eshop.cataloghk.com/150168673c.html	UNISEX CONVERSE RIVALS CHUCK 70 OX	HK$659.00
88	2	 Converse 	https://eshop.cataloghk.com/150568894c.html	WOMEN CONVERSE CHUCK TAYLOR ALL STAR LIFT CABLE OX	HK$539.00
89	2	 Converse 	https://eshop.cataloghk.com/150168850c.html	UNISEX CONVERSE CHUCK 70 OX	HK$419.00
90	2	 PUMA 	https://eshop.cataloghk.com/1pu37343801.html	WOMEN PUMA CALI WEDGE	HK$799.00
91	2	 Converse 	https://eshop.cataloghk.com/150164952c.html	UNISEX CONVERSE CHUCK 70 OX	HK$599.00
92	2	 Converse 	https://eshop.cataloghk.com/150164949c.html	UNISEX CONVERSE CHUCK 70 OX	HK$599.00
93	2	 Converse 	https://eshop.cataloghk.com/150164944c.html	UNISEX CONVERSE CHUCK 70 HI	HK$639.00
94	2	 Converse 	https://eshop.cataloghk.com/150164945c.html	UNISEX CONVERSE CHUCK 70 HI	HK$639.00
95	2	 Converse 	https://eshop.cataloghk.com/150164946c.html	UNISEX CONVERSE CHUCK 70 HI	HK$639.00
96	2	 Converse 	https://eshop.cataloghk.com/150164947c.html	UNISEX CONVERSE CHUCK 70 HI	HK$639.00
97	2	 New Balance 	https://eshop.cataloghk.com/112ws327sfc.html	WOMEN NEW BALANCE 327	HK$749.00
98	2	 New Balance 	https://eshop.cataloghk.com/112ms327cpg.html	MEN NEW BALANCE 327	HK$749.00
99	2	 New Balance 	https://eshop.cataloghk.com/112yh327ckc.html	BIG KIDS NEW BALANCE 327	HK$499.00
100	2	 New Balance 	https://eshop.cataloghk.com/112yh327ckb.html	BIG KIDS NEW BALANCE 327	HK$499.00
101	2	 Converse 	https://eshop.cataloghk.com/150168818c.html	WOMEN CONVERSE RUN STAR HIKE OX	HK$759.00
102	2	 Reebok 	https://eshop.cataloghk.com/101fz2065.html	UNISEX REEBOK INSTAPUMP FURY OG MU	HK$1,299.00
103	2	 adidas 	https://eshop.cataloghk.com/108fu7712.html	BIG KIDS ADIDAS ORIGINALS SUPERSTAR	HK$699.00
